City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Chuy,UY,49.75,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
1,Ketchikan,US,59.47,clear sky,55.3422,-131.6461,Snow's Cove Lodge
2,Rikitea,PF,76.82,broken clouds,-23.1203,-134.9692,People ThankYou
3,Hualmay,PE,68.5,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
4,Marovoay,MG,67.12,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
5,Timra,SE,49.68,broken clouds,62.487,17.3257,Bergefors park
6,Sioux Lookout,CA,63.28,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
7,Acarau,BR,80.42,broken clouds,-2.8856,-40.12,castelo pizzaria
8,Bethel,US,68.85,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
9,New Norfolk,AU,38.7,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
10,Port Blair,IN,81.57,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
11,Pangnirtung,CA,36.66,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
12,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
13,Lorengau,PG,79.5,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
14,Afsin,TR,69.01,scattered clouds,38.2477,36.914,Afsin Ogretmenevi ASO
15,Vanimo,PG,75.85,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
16,Kabare,CD,60.21,overcast clouds,-2.4683,28.8242,Hôtel Panorama
17,San Patricio,US,93.92,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
18,Punta Arenas,CL,37.51,few clouds,-53.15,-70.9167,Hotel Hain
19,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Lerik,AZ,63.0,broken clouds,38.7726,48.4128,9 QARDAŞ
21,Olafsvik,IS,49.6,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
22,Topi,PK,79.14,clear sky,34.0704,72.6236,Hostel 6
23,Okara,PK,91.54,clear sky,30.8081,73.4458,Ali mobile al aziz palaza Shop #6 Venus chows Okara
24,Takoradi,GH,79.54,overcast clouds,4.8845,-1.7554,Raybow International Hotel
25,Bredasdorp,ZA,54.61,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
26,Linjiang,CN,50.47,broken clouds,41.8069,126.9078,格林豪泰
27,Touros,BR,78.15,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
28,Saint-Philippe,RE,71.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Bayan,CN,50.05,scattered clouds,46.0833,127.4,Wanhao Inn
30,Roebourne,AU,62.56,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
31,Butaritari,KI,80.47,moderate rain,3.0707,172.7902,Isles Sunset Lodge
32,Vogar,IS,52.36,broken clouds,63.9832,-22.3874,Hotel Vogar
33,Jardim,BR,71.29,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
34,Fairbanks,US,74.08,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
35,Cape Town,ZA,63.37,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
36,Norman Wells,CA,66.9,broken clouds,65.282,-126.8329,Heritage Hotel
37,Margate,GB,57.31,clear sky,51.3813,1.3862,Premier Inn Margate hotel
38,Kodiak,US,51.31,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
39,Carutapera,BR,80.74,overcast clouds,-1.195,-46.02,Lidera
40,Atuona,PF,77.92,scattered clouds,-9.8,-139.0333,Villa Enata
41,Esperance,AU,53.38,light rain,-33.8667,121.9,Hospitality Esperance
42,Tual,ID,83.95,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
44,Benton Harbor,US,68.65,scattered clouds,42.1167,-86.4542,The Boulevard Inn & Bistro
45,Hamilton,US,89.65,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
46,Richards Bay,ZA,59.67,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
47,Busselton,AU,56.79,light rain,-33.65,115.3333,Observatory Guest House
48,Yellowknife,CA,54.37,overcast clouds,62.456,-114.3525,The Explorer Hotel
49,Elizabeth City,US,93.22,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
50,Mataura,NZ,52.48,light rain,-46.1927,168.8643,Ellie's Villa
51,Prince Rupert,CA,61.45,overcast clouds,54.3161,-130.3201,Crest Hotel
52,Yendi,GH,84.52,overcast clouds,9.4427,-0.0099,Eyarro Lodge
53,Havre-Saint-Pierre,CA,53.96,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
54,Khandyga,RU,50.56,overcast clouds,62.6667,135.6,Apel'sin
55,Ribeira Grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
56,Jadu,LY,81.21,clear sky,31.953,12.0261,امياس للصرافة
57,Atar,MR,101.21,overcast clouds,20.5169,-13.0499,Oumou Elghoura
58,Half Moon Bay,US,89.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
60,Sitka,US,57.09,scattered clouds,57.0531,-135.33,Westmark Sitka
61,Ucluelet,CA,59.31,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
62,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
63,Vao,NC,75.29,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
64,Lebu,CL,48.36,broken clouds,-37.6167,-73.65,Hostal Las Lilas
65,Nieuwpoort,BE,57.09,few clouds,51.1244,2.7735,Hotel Gemeente Huis
