City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marawi,7.9986,124.2928,69.66,89,62,4.12,broken clouds
1,Rikitea,-23.1203,-134.9692,76.28,77,58,9.17,broken clouds
2,Yellowknife,62.456,-114.3525,61.32,29,20,10.36,few clouds
3,Busselton,-33.65,115.3333,51.8,79,91,6.04,light rain
4,Punta Arenas,-53.15,-70.9167,33.91,86,0,3.44,clear sky
5,Abu Samrah,35.3029,37.1841,74.89,37,0,6.82,clear sky
6,Saint-Philippe,-21.3585,55.7679,67.59,74,44,12.93,scattered clouds
7,Vaini,-21.2,-175.2,78.96,89,75,6.91,broken clouds
8,Namibe,-15.1961,12.1522,71.26,65,0,5.68,clear sky
9,Cherskiy,68.75,161.3,60.28,47,98,16.69,overcast clouds
10,Bluff,-46.6,168.3333,48.79,77,99,6.91,light rain
11,Hit,33.6416,42.8251,89.42,13,0,6.49,clear sky
12,Sioux Lookout,50.1001,-91.917,51.87,100,100,13.8,mist
13,Nsoko,-27.0333,31.95,43.86,59,0,4.23,clear sky
14,Port Alfred,-33.5906,26.891,57.78,71,10,17.83,clear sky
15,East London,-33.0153,27.9116,57.99,58,8,15.61,clear sky
16,Tiksi,71.6872,128.8694,31.39,91,100,7.4,overcast clouds
17,Qaanaaq,77.484,-69.3632,26.08,70,7,0.51,clear sky
18,Albany,42.6001,-73.9662,88.45,42,100,11.95,overcast clouds
19,Moron,-34.6534,-58.6198,48.96,63,34,2.3,scattered clouds
20,Sovetskiy,61.3614,63.5842,45.1,56,8,4.9,clear sky
21,Luoyang,34.6836,112.4536,71.26,53,87,3.29,overcast clouds
22,Georgetown,5.4112,100.3354,78.73,99,20,4.61,few clouds
23,Zhigansk,66.7697,123.3711,40.06,75,9,11.59,clear sky
24,Torbay,47.6666,-52.7314,42.28,94,100,16.11,light rain
25,Lavrentiya,65.5833,-171.0,41.97,75,100,5.88,overcast clouds
26,Jamestown,42.097,-79.2353,82.53,35,75,10.36,broken clouds
27,Beringovskiy,63.05,179.3167,39.51,77,26,4.36,scattered clouds
28,Te Anau,-45.4167,167.7167,49.23,90,98,1.92,overcast clouds
29,Chokurdakh,70.6333,147.9167,40.48,83,100,7.47,light rain
30,Hilo,19.7297,-155.09,90.28,77,20,10.36,few clouds
31,Maceio,-9.6658,-35.7353,78.24,88,40,4.61,scattered clouds
32,Ponta Do Sol,32.6667,-17.1,66.7,84,75,10.87,light rain
33,Norman Wells,65.282,-126.8329,75.24,29,75,8.05,broken clouds
34,Kaeo,-35.1,173.7833,65.32,92,66,13.87,broken clouds
35,Iqaluit,63.7506,-68.5145,37.13,81,20,4.61,few clouds
36,Port Maria,18.3685,-76.8895,87.04,79,99,11.68,overcast clouds
37,Madang,-5.2246,145.7966,73.72,92,100,5.95,overcast clouds
38,Tuktoyaktuk,69.4541,-133.0374,33.8,75,75,9.22,broken clouds
39,Kaitangata,-46.2817,169.8464,51.85,74,100,4.12,overcast clouds
40,Carnarvon,-24.8667,113.6333,56.66,75,0,16.53,clear sky
41,Port Lincoln,-34.7333,135.8667,54.3,59,99,7.47,overcast clouds
42,Codrington,-38.2667,141.9667,50.67,63,100,22.75,overcast clouds
43,Ancud,-41.8697,-73.8203,42.26,81,6,3.2,clear sky
44,Ushuaia,-54.8,-68.3,38.86,87,20,17.27,few clouds
45,Carberry,49.8689,-99.3602,61.03,61,97,19.13,overcast clouds
46,Hamilton,39.1834,-84.5333,89.67,52,20,12.66,few clouds
47,Vardo,70.3705,31.1107,42.53,89,90,8.66,overcast clouds
48,Provideniya,64.3833,-173.3,35.71,87,75,8.95,fog
49,Hobart,-42.8794,147.3294,48.06,87,75,12.66,broken clouds
50,Srednekolymsk,67.45,153.6833,61.84,49,100,11.52,overcast clouds
51,Santa Isabel,-23.3156,-46.2214,62.31,98,100,3.67,overcast clouds
52,Hithadhoo,-0.6,73.0833,83.41,70,100,11.92,overcast clouds
53,Hermanus,-34.4187,19.2345,55.31,69,38,10.13,scattered clouds
54,Poso,-1.3959,120.7524,76.69,84,100,3.62,overcast clouds
55,Lumphat,13.4878,106.9816,74.71,98,98,2.06,overcast clouds
56,Deyang,31.1302,104.382,69.46,83,82,0.76,broken clouds
57,Pevek,69.7008,170.3133,33.78,89,100,2.48,overcast clouds
58,Arraial Do Cabo,-22.9661,-42.0278,73.36,88,75,4.61,broken clouds
59,Nehe,48.4833,124.8333,52.43,73,78,1.19,broken clouds
60,Aklavik,68.2191,-135.0107,35.6,75,100,9.22,overcast clouds
61,Beirut,33.8889,35.4944,70.54,88,0,5.75,clear sky
62,Umba,66.6871,34.3429,46.89,64,1,8.16,clear sky
63,Kapaa,22.0752,-159.319,82.38,72,20,11.5,few clouds
64,Hasaki,35.7333,140.8333,68.4,71,70,5.93,broken clouds
65,Port Blair,11.6667,92.75,80.64,89,40,5.75,mist
66,Bathsheba,13.2167,-59.5167,81.21,78,20,10.36,few clouds
67,Esperance,-33.8667,121.9,56.16,68,100,5.59,overcast clouds
68,Nova Era,-19.75,-43.0375,66.61,66,54,1.54,broken clouds
69,Nanyamba,-10.6833,39.8333,65.16,94,23,4.63,few clouds
70,Santiago De Cao,-7.9589,-79.2392,64.53,77,19,12.66,few clouds
71,Ribeira Grande,38.5167,-28.7,61.2,82,40,12.66,scattered clouds
72,Neryungri,56.6709,124.6491,42.93,97,100,0.29,light rain
73,Aswan,24.0934,32.907,89.74,14,8,12.75,clear sky
74,Sudbury,46.49,-80.99,78.42,60,65,1.01,broken clouds
75,Lodwar,3.1191,35.5973,83.03,48,83,20.04,broken clouds
76,New Norfolk,-42.7826,147.0587,47.7,84,100,3.0,overcast clouds
77,Severo-Kurilsk,50.6789,156.125,42.93,87,99,5.86,overcast clouds
78,Port Elizabeth,-33.918,25.5701,58.32,68,0,6.91,clear sky
79,Xinzhou,38.4092,112.7333,59.54,39,0,0.43,clear sky
80,Cape Canaveral,28.4058,-80.6048,85.01,68,0,10.36,clear sky
81,Mount Isa,-20.7333,139.5,58.77,55,67,6.91,broken clouds
82,Thompson,55.7435,-97.8558,41.16,81,100,12.66,overcast clouds
83,Barrow,71.2906,-156.7887,37.42,87,0,14.97,clear sky
84,Czestochowa,50.7965,19.1241,59.07,88,98,5.61,overcast clouds
85,Kodiak,57.79,-152.4072,49.51,76,100,9.22,overcast clouds
86,Namuac,18.6109,121.1657,78.89,78,36,8.3,scattered clouds
87,Castro,-24.7911,-50.0119,53.73,98,100,8.61,overcast clouds
88,Avarua,-21.2078,-159.775,75.25,83,75,6.91,light rain
89,Orichi,58.4036,49.0572,56.12,85,100,1.34,overcast clouds
90,Iquitos,-3.7481,-73.2472,86.04,70,40,4.61,scattered clouds
91,Dongfeng,42.6403,125.5118,57.34,61,46,4.63,scattered clouds
92,Guerrero Negro,27.9769,-114.0611,70.0,57,11,20.4,few clouds
93,Tongliao,43.6125,122.2653,60.87,45,14,4.99,few clouds
94,Nikolskoye,59.7035,30.7861,52.72,95,1,5.03,clear sky
95,Lata,40.1629,-8.3327,60.76,94,76,2.84,broken clouds
96,Weston,26.1004,-80.3998,83.01,72,20,5.75,few clouds
97,Victoria,22.2855,114.1577,83.32,83,77,3.0,broken clouds
98,Santiago,-33.4569,-70.6483,58.17,33,20,5.75,few clouds
99,Cape Town,-33.9258,18.4232,54.12,87,0,5.75,clear sky
100,Hvide Sande,56.0045,8.1294,41.09,70,40,4.47,scattered clouds
101,Beira,-19.8436,34.8389,69.89,94,75,4.61,broken clouds
102,Dzaoudzi,-12.7887,45.2699,76.89,73,0,8.05,clear sky
103,Kedrovyy,56.1667,91.8167,50.41,72,98,3.76,overcast clouds
104,Pangnirtung,66.1451,-65.7125,35.6,80,20,12.66,few clouds
105,Maldonado,-34.6667,-54.9167,46.22,77,14,4.38,few clouds
