City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Escondido,MX,15.85,-97.0667,77.83,69,20,0.0,few clouds
1,Vaini,TO,-21.2,-175.2,76.15,79,100,12.59,overcast clouds
2,Aljezur,PT,37.3191,-8.8033,74.41,57,6,14.47,clear sky
3,Taicheng,CN,38.731,113.228,64.11,20,0,8.14,clear sky
4,Bredasdorp,ZA,-34.5322,20.0403,69.26,51,39,11.83,scattered clouds
5,Khatanga,RU,71.9667,102.5,30.25,80,100,8.14,overcast clouds
6,Lazaro Cardenas,MX,17.9583,-102.2,76.05,84,62,3.56,broken clouds
7,Kem,RU,64.9555,34.5793,62.56,48,47,5.37,scattered clouds
8,Shanghai,CN,31.2222,121.4581,73.26,86,75,8.95,broken clouds
9,Barrow,US,71.2906,-156.7887,24.82,86,100,25.32,overcast clouds
10,Sestri Levante,IT,44.2732,9.3968,78.06,82,46,8.01,scattered clouds
11,Kodiak,US,57.79,-152.4072,54.91,54,0,8.05,clear sky
12,New Norfolk,AU,-42.7826,147.0587,47.7,80,60,1.01,broken clouds
13,Kargasok,RU,59.0556,80.8572,42.22,77,100,9.95,overcast clouds
14,Griffith,US,41.5284,-87.4237,66.27,61,100,4.61,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,75.11,46,43,3.0,scattered clouds
16,Yuanping,CN,38.7153,112.7575,69.4,16,0,6.22,clear sky
17,Sovetskiy,RU,61.3614,63.5842,58.44,23,18,3.74,few clouds
18,Victoria,HK,22.2855,114.1577,87.19,84,100,11.01,overcast clouds
19,Hamilton,US,39.1834,-84.5333,70.0,63,0,8.05,clear sky
20,Port Alfred,ZA,-33.5906,26.891,69.19,65,1,1.99,clear sky
21,East London,ZA,-33.0153,27.9116,67.14,59,40,5.75,scattered clouds
22,Tasiilaq,GL,65.6145,-37.6368,42.96,55,26,5.28,scattered clouds
23,Hermanus,ZA,-34.4187,19.2345,70.81,51,91,7.99,overcast clouds
24,San Quintin,MX,30.4833,-115.95,60.12,90,31,12.03,scattered clouds
25,Ushuaia,AR,-54.8,-68.3,42.46,61,75,25.32,broken clouds
26,Te Anau,NZ,-45.4167,167.7167,47.61,92,96,1.88,overcast clouds
27,Bluff,NZ,-46.6,168.3333,46.8,87,9,8.52,clear sky
28,Puerto Ayora,EC,-0.7393,-90.3518,72.55,94,93,3.0,overcast clouds
29,Busselton,AU,-33.65,115.3333,56.95,68,100,8.68,overcast clouds
30,Ilulissat,GL,69.2167,-51.1,39.22,52,20,16.11,few clouds
31,Lorengau,PG,-2.0226,147.2712,80.49,72,6,5.19,clear sky
32,Pisco,PE,-13.7,-76.2167,62.02,91,100,4.32,overcast clouds
33,Hofn,IS,64.2539,-15.2082,53.62,76,40,16.11,scattered clouds
34,Lieto,FI,60.5103,22.4618,66.29,60,75,9.22,broken clouds
35,Torbay,CA,47.6666,-52.7314,51.89,78,97,14.0,overcast clouds
36,Priladozhskiy,RU,59.85,31.4833,57.52,1,98,7.4,overcast clouds
37,Avarua,CK,-21.2078,-159.775,73.45,100,25,3.44,scattered clouds
38,Adamovka,RU,51.5223,59.9396,69.8,62,98,7.63,overcast clouds
39,Hilo,US,19.7297,-155.09,75.27,97,100,3.44,light rain
40,Cairns,AU,-16.9167,145.7667,75.07,93,79,8.05,broken clouds
41,Marsh Harbour,BS,26.5412,-77.0636,79.3,78,39,19.93,scattered clouds
42,Nedjo,ET,9.5046,35.5019,67.37,78,86,2.51,moderate rain
43,Severomuysk,RU,56.1481,113.4267,46.29,89,100,3.69,light rain
44,Rikitea,PF,-23.1203,-134.9692,74.93,72,0,13.51,clear sky
45,Mataura,NZ,-46.1927,168.8643,46.47,96,12,3.13,few clouds
46,Dunedin,NZ,-45.8742,170.5036,48.79,70,100,3.0,overcast clouds
47,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,57,93,8.5,overcast clouds
48,Grindavik,IS,63.8424,-22.4338,46.87,81,100,12.66,light rain
49,Bac Lieu,VN,9.285,105.7244,83.71,77,10,7.0,clear sky
50,Ocampo,MX,21.65,-101.5,59.83,64,91,0.22,overcast clouds
51,Punta Arenas,CL,-53.15,-70.9167,39.31,52,0,12.66,clear sky
52,Hobyo,SO,5.3505,48.5268,81.88,72,14,26.57,few clouds
53,Yellowknife,CA,62.456,-114.3525,59.56,44,100,13.0,overcast clouds
54,Nikolskoye,RU,59.7035,30.7861,65.88,45,100,10.83,overcast clouds
55,Qaanaaq,GL,77.484,-69.3632,28.65,72,5,5.84,clear sky
56,Georgetown,MY,5.4112,100.3354,84.13,74,20,0.0,light rain
